year,state,industry,count,last_update
2024,Assam,Advertising,1,2025-07-31 19:30:00.697
2024,Assam,Architecture Interior Design,1,2025-07-31 19:30:00.963
2024,Assam,Automotive,3,2025-07-31 19:30:01.478
2024,Assam,Chemicals,3,2025-07-31 19:30:02.257
2024,Assam,Telecommunication & Networking,2,2025-07-31 19:30:02.767
2024,Assam,Construction,59,2025-07-31 19:30:03.019
2024,Assam,Agriculture,41,2025-07-31 19:30:03.278
2024,Assam,Aeronautics Aerospace & Defence,1,2025-07-31 19:30:03.535
2024,Assam,AI,9,2025-07-31 19:30:03.794
2024,Assam,Green Technology,10,2025-07-31 19:30:04.050
2024,Assam,Fashion,5,2025-07-31 19:30:04.573
2024,Assam,Finance Technology,8,2025-07-31 19:30:04.829
2024,Assam,Food & Beverages,15,2025-07-31 19:30:05.343
2024,Assam,Design,6,2025-07-31 19:30:05.599
2024,Assam,Education,16,2025-07-31 19:30:06.111
2024,Assam,Renewable Energy,6,2025-07-31 19:30:06.365
2024,Assam,Technology Hardware,8,2025-07-31 19:30:06.620
2024,Assam,Healthcare & Lifesciences,35,2025-07-31 19:30:06.875
2024,Assam,Internet of Things,1,2025-07-31 19:30:07.130
2024,Assam,IT Services,24,2025-07-31 19:30:07.386
2024,Assam,Human Resources,2,2025-07-31 19:30:07.641
2024,Assam,Marketing,6,2025-07-31 19:30:07.896
2024,Assam,Non- Renewable Energy,2,2025-07-31 19:30:08.407
2024,Assam,Pets & Animals,1,2025-07-31 19:30:08.662
2024,Assam,Media & Entertainment,11,2025-07-31 19:30:08.916
2024,Assam,Retail,6,2025-07-31 19:30:09.171
2024,Assam,House-Hold Services,6,2025-07-31 19:30:09.427
2024,Assam,Professional & Commercial Services,13,2025-07-31 19:30:09.682
2024,Assam,Sports,1,2025-07-31 19:30:09.937
2024,Assam,Social Impact,3,2025-07-31 19:30:10.192
2024,Assam,Social Network,1,2025-07-31 19:30:10.446
